"year","species","dbh"
1986,"SW",316
1986,"SW",260
1986,"SW",243
1986,"AW",223
1986,"AW",286
1986,"SW",200
1986,"AW",179
1986,"SW",162
1986,"SW",372
1986,"AW",158
1986,"SW",147
1986,"SW",414
1986,"SW",113
1986,"AW",163
1986,"AW",183
1986,"SW",223
1986,"SW",255
1986,"SW",326
1986,"SW",114
1986,"SW",176
1986,"SW",128
1986,"SW",263
1986,"AW",171
1986,"SW",203
1986,"AW",194
1986,"SW",373
1986,"AW",244
1986,"SW",144
1986,"AW",194
1986,"SW",352
1986,"SW",200
1986,"SW",353
1986,"SW",141
1986,"SW",290
1986,"SW",163
1986,"AW",182
1986,"SW",89
1986,"SW",177
1986,"SW",297
1986,"SW",270
1986,"SW",117
1986,"SW",181
1986,"AW",200
1986,"SW",131
1986,"SW",104
1986,"SW",294
1986,"SW",135
1986,"SW",245
1986,"AW",169
1986,"SW",338
1986,"SW",272
1986,"SW",90
1986,"SW",165
1986,"SW",144
1986,"SW",116
1986,"SW",355
1986,"SW",114
1986,"SW",306
1986,"AW",164
1986,"AW",137
1986,"SW",297
1986,"SW",261
1986,"SW",322
1986,"AW",194
1986,"SW",295
1986,"SW",283
1986,"AW",168
1986,"SW",312
1986,"AW",148
1986,"SW",240
1986,"SW",301
1986,"SW",339
1986,"SW",325
1986,"SW",330
1986,"AW",187
1986,"SW",160
1986,"SW",299
1986,"SW",110
1986,"SW",337
1986,"SW",184
1986,"SW",198
1986,"SW",127
1986,"AW",205
1986,"SW",136
1986,"SW",121
1986,"SW",207
1986,"AW",205
1986,"AW",211
1986,"SW",209
1986,"SW",155
1986,"SW",180
1986,"AW",172
1986,"SW",113
1986,"SW",95
1986,"SW",233
1986,"SW",226
1986,"SW",205
1986,"AW",198
1986,"AW",228
1986,"AW",193
1986,"AW",241
1986,"SW",94
1986,"AW",167
1986,"SW",165
1986,"SW",153
1986,"SW",99
1986,"SW",285
1986,"AW",201
1986,"SW",385
1986,"SW",220
1986,"SW",394
1986,"SW",211
1986,"SW",400
1986,"AW",176
1986,"SW",108
1986,"SW",89
1986,"SW",15
1986,"SW",52
1991,"AW",233
1991,"AW",303
1991,"SW",206
1991,"AW",199
1991,"SW",167
1991,"SW",384
1991,"AW",157
1991,"SW",158
1991,"SW",422
1991,"SW",117
1991,"AW",165
1991,"AW",186
1991,"SW",232
1991,"SW",260
1991,"SW",332
1991,"SW",119
1991,"SW",184
1991,"SW",132
1991,"SW",271
1991,"AW",175
1991,"SW",216
1991,"AW",199
1991,"SW",383
1991,"AW",252
1991,"SW",145
1991,"AW",216
1991,"SW",357
