"row","year","plot","Group","yeart0","covert0","nrect1","pptWin1","pptSpr1","pptSum1","pptFall1","pptAnnual1","pptLag1","snow1","FebMarSnow1","TmeanWin1","TmeanSpr1","TmeanSum1","TmeanFall1","TmeanAnnual1","pptApr1","pptMay1","pptJune1","pptWin2","pptSpr2","pptSum2","pptFall2","pptAnnual2","snow2","FebMarSnow2","TmeanWin2","TmeanSpr2","TmeanSum2","TmeanFall2","TmeanAnnual2","pptApr2","pptMay2","pptJune2","recpptApr","recFebMarSnow"
"1","1932",1,1,32,0.055172641,2,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"2","1932",20,3,32,0.094316155,0,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"3","1932",24,4,32,0.010817965,0,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"4","1932",9,2,32,0,0,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"5","1932",21,3,32,0.071383192,0,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"6","1932",6,1,32,0.051602803,2,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"7","1932",25,4,32,0.093542229,2,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"8","1932",10,2,32,0.02086057,0,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"9","1932",22,3,32,0.191116492,1,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"10","1932",26,4,32,0.142959957,1,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"11","1932",19,3,32,0,3,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"12","1932",4,1,32,0.028563549,3,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"13","1932",23,4,32,0.055727041,2,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"14","1932",8,2,32,0.151698048,0,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"15","1932",7,2,32,0.077280646,1,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"16","1932",5,1,32,0.060098957,0,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"17","1932",2,1,32,0.038429981,1,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"18","1932",3,1,32,0.103332037,1,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"19","1933",5,1,33,0.088164545,1,67.183,83.566,98.044,28.194,276.987,274.701,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,23.495,53.34,6.731,27.686,76.2,41.402,40.005,185.293,NA,5.08,1.875661376,14.5426125,18.75109518,3.089406611,9.564693917,0.345,0.425,2.23,2.613526316,-31.84641053
"20","1933",1,1,33,0.073652611,1,67.183,83.566,98.044,28.194,276.987,274.701,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,23.495,53.34,6.731,27.686,76.2,41.402,40.005,185.293,NA,5.08,1.875661376,14.5426125,18.75109518,3.089406611,9.564693917,0.345,0.425,2.23,2.613526316,-31.84641053
